"Group","Groupe","Gruppe"
"Description","Description","Beschreibung"
"Executed At","Date Execution","Ausgeführt am"
"Result","Resultat","Resultat"
"Result description","Description du resultat","Beschreibung Resultat"
"Tasks successfully performed","Taches ex&eacute;cut&eacute;es avec succ&egrave;s","Aufgaben erfolgreich durchgeführt"
"Tasks successfully deleted","Taches supprim&eacute;es","Aufgaben erfolgreich gelöscht"
"Group Tasks successfully deleted","Groupe de tache supprim&eacute;","Aufgabengruppe erfolgreich gelöscht"
"Background Tasks","Taches de fond","Hintergrund-Aufgaben"
"Clear all Tasks","Supprimer toutes les taches","Alle Aufgaben entfernen"
"Clear group Tasks","Supprimer toutes les taches de groupe","Alle Aufgabengruppen entfernen"
"Please wait until tasks are complete...","Veuillez patienter pendant l'ex&eacute;cution","Bitte warten, Bearbeitung läuft"
"General","General","Allgemein"
"Max Execution Time","Temps d'execution maximum","Maximale Duchrführungszeit"
"Delete failed Tasks ?","Supprimer les taches en erreur ?","Fehlerhafte Aufgaben löschen?"
"History Duration","Duree de l'historique","Verlaufsdauer"
"Developper Email Address","Email a alerter lorsqu'une tache provoque une erreur","E-Mail-Adresse für Warnhinweis bei Fehler"
"Debug Mode","Mode debug","Prüfmodus"
"Immediate Mode","Mode imm&eacute;diat","Sofort-Modus"
"Store stack trace","Stocker la stack trace","Spuraufeichnung speichern"
"Replay","Rejouer","Wiederholen"