"Enter your room measurements to calculate the required quantity of this product:","Enter your room measurements to calculate the required quantity of this product:"
"Width (m)","Width (m)"
"Length (m)","Length (m)"
"Calculate","Calculate"
"Floor area:","Floor area:"
"Wall length:","Wall length:"
"Current product:","Current product:"
"Actual product area:","Actual product area:"
"Total price:","Total price:"
"Please contact one of our sales advisors about purchasing larger sizes than are available on our web site.","Please contact one of our sales advisors about purchasing larger sizes than are available on our web site."
"Conversion","Conversion"
"Convert feet and/or inches into meters:","Convert feet and/or inches into meters:"
"Feet","Feet"
"Inches","Inches"
"Convert","Convert"
"Result:","Result:"
"meters","meters"